SubPlot;idTree;Xfield;Yfield;Family;spName;Genus;Species;CircCorr
1;100655;7,5;179,50000000000000;Peraceae;Pogonophora_schomburgkiana;Pogonophora;schomburgkiana;44
1;100657;8;183,50000000000000;Peraceae;Pogonophora_schomburgkiana;Pogonophora;schomburgkiana;43,5
1;100658;5,5;182,50000000000000;Chrysobalanaceae;Licania_membranacea;Licania;membranacea;53,5
1;100659;1,5;186,00000000000000;Euphorbiaceae;Sandwithia_guyanensis;Sandwithia;guyanensis;38,5
1;100660;0,5;190,00000000000000;Fabaceae;Eperua_falcata;Eperua;falcata;77
1;100661;9;196,50000000000000;Celastraceae;Maytenus_oblongata;Maytenus;oblongata;49,5
1;100662;9,5;196,50000000000000;Sapindaceae;Indet.Sapindaceae_Indet.;Indet.Sapindaceae;Indet.;57,5
1;100664;8;205,00000000000000;Myristicaceae;Iryanthera_sagotiana;Iryanthera;sagotiana;50
1;100665;2,5;206,00000000000000;Fabaceae;Eperua_falcata;Eperua;falcata;167
1;100666;2;204,00000000000000;Clusiaceae;Moronobea_coccinea;Moronobea;coccinea;62,5
1;100667;1;205,00000000000000;Annonaceae;Oxandra_asbeckii;Oxandra;asbeckii;41
1;100668;2,5;212,00000000000000;Lecythidaceae;Lecythis_persistens;Lecythis;persistens subsp. aurantiaca;44,5
1;100669;3,5;211,00000000000000;Sapotaceae;Pouteria_melanopoda;Pouteria;melanopoda;130
1;100670;4,5;211,00000000000000;Annonaceae;Oxandra_asbeckii;Oxandra;asbeckii;42,5
1;100671;7;210,00000000000000;Peraceae;Pogonophora_schomburgkiana;Pogonophora;schomburgkiana;56
1;100672;0,5;214,00000000000000;Sapotaceae;Micropholis_egensis;Micropholis;egensis;125,5
1;100673;3,5;220,50000000000000;Lecythidaceae;Lecythis_persistens;Lecythis;persistens subsp. aurantiaca;43
1;100675;8,5;220,00000000000000;Clusiaceae;Moronobea_coccinea;Moronobea;coccinea;128
1;100676;9;222,00000000000000;Fabaceae;Eperua_falcata;Eperua;falcata;133
1;100677;7;226,00000000000000;Fabaceae;Eperua_falcata;Eperua;falcata;123,5
1;100678;2;224,00000000000000;Fabaceae;Recordoxylon_speciosum;Recordoxylon;speciosum;134,5
1;100681;9;233,00000000000000;Peraceae;Chaetocarpus_schomburgkianus;Chaetocarpus;schomburgkianus;59
1;100682;4;233,00000000000000;Euphorbiaceae;Sandwithia_guyanensis;Sandwithia;guyanensis;36
1;100683;1;236,00000000000000;Myrtaceae;Eugenia_cupulata;Eugenia;cupulata;55
1;100684;1,5;234,50000000000000;Fabaceae;Recordoxylon_speciosum;Recordoxylon;speciosum;51
1;100685;2;238,00000000000000;Sapotaceae;Pradosia_cochlearia;Pradosia;cochlearia;165
1;100686;2;240,50000000000000;Chrysobalanaceae;Couepia_bracteosa;Couepia;bracteosa;53
1;100687;6,5;244,00000000000000;Lecythidaceae;Lecythis_poiteaui;Lecythis;poiteaui;59,5
1;100688;6,5;244,00000000000000;Peraceae;Chaetocarpus_schomburgkianus;Chaetocarpus;schomburgkianus;57
1;100689;5;244,00000000000000;Vochysiaceae;Ruizterania_albiflora;Ruizterania;albiflora;216,875
1;100690;3;245,00000000000000;Sapotaceae;Pouteria_ambelaniifolia;Pouteria;ambelaniifolia;67
1;100691;4;247,00000000000000;Fabaceae;Eperua_falcata;Eperua;falcata;150
1;100692;9,5;249,50000000000000;Fabaceae;Eperua_falcata;Eperua;falcata;98
1;100693;4;248,50000000000000;Fabaceae;Inga_loubryana;Inga;loubryana;38
1;100694;1;248,00000000000000;Clusiaceae;Symphonia_sp.1;Symphonia;sp.1;37
1;100695;18,5;249,50000000000000;Sapotaceae;Pouteria_guianensis;Pouteria;guianensis;72
1;100696;18,5;248,00000000000000;Fabaceae;Eperua_falcata;Eperua;falcata;200
1;100621;23;235,50000000000000;Euphorbiaceae;Sandwithia_guyanensis;Sandwithia;guyanensis;42
1;100622;28,5;248,00000000000000;Arecaceae;Oenocarpus_bataua;Oenocarpus;bataua var. bataua;59,5
1;100623;14;209,50000000000000;Sapotaceae;Micropholis_guyanensis;Micropholis;guyanensis subsp. duckeana;74
1;100625;9,5;126,50000000000000;Humiriaceae;Sacoglottis_guianensis;Sacoglottis;guianensis;132,5
1;100626;10;128,00000000000000;Dichapetalaceae;Tapura_capitulifera;Tapura;capitulifera;46
